State,Year,Quater,District,reg_user,app_opens
"srikakulam district",2022,4,"srikakulam district",1204785,72666058
"visakhapatnam district",2022,4,"visakhapatnam district",3566854,208604256
"prakasam district",2022,4,"prakasam district",1642503,94432083
"anantapur district",2022,4,"anantapur district",2128066,136685634
"kurnool district",2022,4,"kurnool district",2018290,105333688
"guntur district",2022,4,"guntur district",2774365,144773169
"krishna district",2022,4,"krishna district",2813645,156902257
"spsr nellore district",2022,4,"spsr nellore district",1663684,103101986
"vizianagaram district",2022,4,"vizianagaram district",1044490,64406405
"ysr district",2022,4,"ysr district",1556901,93975668
"west godavari district",2022,4,"west godavari district",1893310,129116752
"chittoor district",2022,4,"chittoor district",2636036,189655966
"lower subansiri district",2018,1,"lower subansiri district",498,0
"tirap district",2018,1,"tirap district",557,0
"papum pare district",2018,1,"papum pare district",7649,0
"anjaw district",2018,1,"anjaw district",278,0
"lower siang district",2018,1,"lower siang district",270,0
"dibang valley district",2018,1,"dibang valley district",66,0
"west kameng district",2018,1,"west kameng district",2202,0
"shi yomi district",2018,1,"shi yomi district",49,0
"east kameng district",2018,1,"east kameng district",222,0
"lohit district",2018,1,"lohit district",1207,0
"lepa rada district",2018,1,"lepa rada district",210,0
"lower dibang valley district",2018,1,"lower dibang valley district",601,0
"longding district",2018,1,"longding district",256,0
"west siang district",2018,1,"west siang district",846,0
"kamle district",2018,1,"kamle district",22,0
"upper siang district",2018,1,"upper siang district",301,0
"kurung kumey district",2018,1,"kurung kumey district",97,0
"siang district",2018,1,"siang district",192,0
"kra daadi district",2018,1,"kra daadi district",88,0
"changlang district",2018,1,"changlang district",1208,0
"pakke kessang district",2018,1,"pakke kessang district",39,0
"east siang district",2018,1,"east siang district",1803,0
"upper subansiri district",2018,1,"upper subansiri district",572,0
"tawang district",2018,1,"tawang district",1525,0
"namsai district",2018,1,"namsai district",737,0
"lower subansiri district",2018,2,"lower subansiri district",724,0
"tirap district",2018,2,"tirap district",856,0
"papum pare district",2018,2,"papum pare district",11418,0
"anjaw district",2018,2,"anjaw district",410,0
"lower siang district",2018,2,"lower siang district",494,0
"dibang valley district",2018,2,"dibang valley district",112,0
"west kameng district",2018,2,"west kameng district",3442,0
"shi yomi district",2018,2,"shi yomi district",80,0
"east kameng district",2018,2,"east kameng district",343,0
"lohit district",2018,2,"lohit district",1898,0
"lepa rada district",2018,2,"lepa rada district",318,0
"lower dibang valley district",2018,2,"lower dibang valley district",893,0
"longding district",2018,2,"longding district",412,0
"west siang district",2018,2,"west siang district",1224,0
"kamle district",2018,2,"kamle district",37,0
"upper siang district",2018,2,"upper siang district",481,0
"kurung kumey district",2018,2,"kurung kumey district",153,0
"siang district",2018,2,"siang district",293,0
"kra daadi district",2018,2,"kra daadi district",144,0
"changlang district",2018,2,"changlang district",2014,0
"pakke kessang district",2018,2,"pakke kessang district",66,0
"east siang district",2018,2,"east siang district",2646,0
"upper subansiri district",2018,2,"upper subansiri district",883,0
"tawang district",2018,2,"tawang district",2266,0
"namsai district",2018,2,"namsai district",1276,0
"lower subansiri district",2018,3,"lower subansiri district",1033,0
"tirap district",2018,3,"tirap district",1226,0
"papum pare district",2018,3,"papum pare district",16009,0
"anjaw district",2018,3,"anjaw district",542,0
"lower siang district",2018,3,"lower siang district",717,0
"dibang valley district",2018,3,"dibang valley district",145,0
"west kameng district",2018,3,"west kameng district",4765,0
"shi yomi district",2018,3,"shi yomi district",118,0
"east kameng district",2018,3,"east kameng district",521,0
"lohit district",2018,3,"lohit district",2612,0
"lepa rada district",2018,3,"lepa rada district",431,0
"lower dibang valley district",2018,3,"lower dibang valley district",1286,0
"longding district",2018,3,"longding district",644,0
"west siang district",2018,3,"west siang district",1652,0
"kamle district",2018,3,"kamle district",65,0
"upper siang district",2018,3,"upper siang district",646,0
"kurung kumey district",2018,3,"kurung kumey district",222,0
"siang district",2018,3,"siang district",373,0
"kra daadi district",2018,3,"kra daadi district",190,0
"changlang district",2018,3,"changlang district",2889,0
"pakke kessang district",2018,3,"pakke kessang district",103,0
"east siang district",2018,3,"east siang district",3590,0
"upper subansiri district",2018,3,"upper subansiri district",1169,0
"tawang district",2018,3,"tawang district",3112,0
"namsai district",2018,3,"namsai district",1862,0
"lower subansiri district",2018,4,"lower subansiri district",1459,0
"tirap district",2018,4,"tirap district",1684,0
"papum pare district",2018,4,"papum pare district",21342,0
"anjaw district",2018,4,"anjaw district",744,0
"lower siang district",2018,4,"lower siang district",936,0
"dibang valley district",2018,4,"dibang valley district",178,0
"west kameng district",2018,4,"west kameng district",6492,0
"shi yomi district",2018,4,"shi yomi district",144,0
"east kameng district",2018,4,"east kameng district",691,0
"lohit district",2018,4,"lohit district",3588,0
"lepa rada district",2018,4,"lepa rada district",548,0
"lower dibang valley district",2018,4,"lower dibang valley district",1827,0
"longding district",2018,4,"longding district",923,0
"west siang district",2018,4,"west siang district",2117,0
"kamle district",2018,4,"kamle district",109,0
"upper siang district",2018,4,"upper siang district",868,0
"kurung kumey district",2018,4,"kurung kumey district",321,0
"siang district",2018,4,"siang district",483,0
"kra daadi district",2018,4,"kra daadi district",255,0
"changlang district",2018,4,"changlang district",4036,0
"pakke kessang district",2018,4,"pakke kessang district",138,0
"east siang district",2018,4,"east siang district",4813,0
"upper subansiri district",2018,4,"upper subansiri district",1576,0
"tawang district",2018,4,"tawang district",4085,0
"namsai district",2018,4,"namsai district",2495,0
"lower subansiri district",2019,1,"lower subansiri district",1879,0
"tirap district",2019,1,"tirap district",2082,0
"papum pare district",2019,1,"papum pare district",26298,0
"anjaw district",2019,1,"anjaw district",934,0
"lower siang district",2019,1,"lower siang district",1123,0
"dibang valley district",2019,1,"dibang valley district",211,0
"west kameng district",2019,1,"west kameng district",8115,0
"shi yomi district",2019,1,"shi yomi district",186,0
"east kameng district",2019,1,"east kameng district",876,0
"lohit district",2019,1,"lohit district",4416,0
"lepa rada district",2019,1,"lepa rada district",710,0
"lower dibang valley district",2019,1,"lower dibang valley district",2314,0
"longding district",2019,1,"longding district",1152,0
"west siang district",2019,1,"west siang district",2656,0
"kamle district",2019,1,"kamle district",141,0
"upper siang district",2019,1,"upper siang district",1125,0
"kurung kumey district",2019,1,"kurung kumey district",385,0
"siang district",2019,1,"siang district",651,0
"kra daadi district",2019,1,"kra daadi district",350,0
"changlang district",2019,1,"changlang district",5210,0
"pakke kessang district",2019,1,"pakke kessang district",162,0
"east siang district",2019,1,"east siang district",5899,0
"upper subansiri district",2019,1,"upper subansiri district",1906,0
"tawang district",2019,1,"tawang district",5023,0
"namsai district",2019,1,"namsai district",3153,0
"lower subansiri district",2019,2,"lower subansiri district",2463,11644
"tirap district",2019,2,"tirap district",2697,12779
"papum pare district",2019,2,"papum pare district",32800,163673
"anjaw district",2019,2,"anjaw district",1175,4993
"lower siang district",2019,2,"lower siang district",1457,7737
"dibang valley district",2019,2,"dibang valley district",241,258
"west kameng district",2019,2,"west kameng district",9782,73944
"shi yomi district",2019,2,"shi yomi district",225,24
"east kameng district",2019,2,"east kameng district",1075,4146
"lohit district",2019,2,"lohit district",5485,32550
"lepa rada district",2019,2,"lepa rada district",903,4196
"lower dibang valley district",2019,2,"lower dibang valley district",2842,12669
"longding district",2019,2,"longding district",1420,13256
"west siang district",2019,2,"west siang district",3393,15972
"kamle district",2019,2,"kamle district",212,972
"upper siang district",2019,2,"upper siang district",1372,2710
"kurung kumey district",2019,2,"kurung kumey district",481,2171
"siang district",2019,2,"siang district",831,3209
"kra daadi district",2019,2,"kra daadi district",440,2639
"changlang district",2019,2,"changlang district",6884,37725
"pakke kessang district",2019,2,"pakke kessang district",211,1237
"east siang district",2019,2,"east siang district",7319,34596
"upper subansiri district",2019,2,"upper subansiri district",2355,9043
"tawang district",2019,2,"tawang district",5908,32103
"namsai district",2019,2,"namsai district",3914,18627
"lower subansiri district",2019,3,"lower subansiri district",2928,42877
"tirap district",2019,3,"tirap district",3099,49222
"papum pare district",2019,3,"papum pare district",38845,582435
"anjaw district",2019,3,"anjaw district",1358,19509
"lower siang district",2019,3,"lower siang district",1689,25736
"dibang valley district",2019,3,"dibang valley district",271,1436
"west kameng district",2019,3,"west kameng district",11186,260068
"shi yomi district",2019,3,"shi yomi district",239,158
"east kameng district",2019,3,"east kameng district",1304,19974
"lohit district",2019,3,"lohit district",6421,112322
"lepa rada district",2019,3,"lepa rada district",1064,13695
"lower dibang valley district",2019,3,"lower dibang valley district",3398,43057
"longding district",2019,3,"longding district",1634,46571
"west siang district",2019,3,"west siang district",4101,64241
"kamle district",2019,3,"kamle district",258,3686
"upper siang district",2019,3,"upper siang district",1486,8960
"kurung kumey district",2019,3,"kurung kumey district",572,8396
"siang district",2019,3,"siang district",948,13437
"kra daadi district",2019,3,"kra daadi district",524,11363
"changlang district",2019,3,"changlang district",8145,139098
"pakke kessang district",2019,3,"pakke kessang district",244,5099
"east siang district",2019,3,"east siang district",8571,118071
"upper subansiri district",2019,3,"upper subansiri district",2748,35114
"tawang district",2019,3,"tawang district",6553,114907
"namsai district",2019,3,"namsai district",4563,72268
"lower subansiri district",2019,4,"lower subansiri district",3564,53396
"tirap district",2019,4,"tirap district",3605,67097
"papum pare district",2019,4,"papum pare district",44746,670934
"anjaw district",2019,4,"anjaw district",1564,23729
"lower siang district",2019,4,"lower siang district",1921,28156
"dibang valley district",2019,4,"dibang valley district",289,1738
"west kameng district",2019,4,"west kameng district",12562,313584
"shi yomi district",2019,4,"shi yomi district",266,880
"east kameng district",2019,4,"east kameng district",1623,27850
"lohit district",2019,4,"lohit district",7386,129353
"lepa rada district",2019,4,"lepa rada district",1263,20798
"lower dibang valley district",2019,4,"lower dibang valley district",3944,50034
"longding district",2019,4,"longding district",1847,48945
"west siang district",2019,4,"west siang district",4773,70790
"kamle district",2019,4,"kamle district",323,5098
"upper siang district",2019,4,"upper siang district",1804,26060
"kurung kumey district",2019,4,"kurung kumey district",653,7904
"siang district",2019,4,"siang district",1131,19220
"kra daadi district",2019,4,"kra daadi district",603,13700
"changlang district",2019,4,"changlang district",9662,152680
"pakke kessang district",2019,4,"pakke kessang district",296,5981
"east siang district",2019,4,"east siang district",9859,132534
"upper subansiri district",2019,4,"upper subansiri district",3144,42354
"tawang district",2019,4,"tawang district",7303,139898
"namsai district",2019,4,"namsai district",5190,87627
"lower subansiri district",2020,1,"lower subansiri district",4351,72887
"tirap district",2020,1,"tirap district",4261,76554
"papum pare district",2020,1,"papum pare district",51342,819599
"anjaw district",2020,1,"anjaw district",1747,25453
"lower siang district",2020,1,"lower siang district",2201,35216
"dibang valley district",2020,1,"dibang valley district",320,2195
"west kameng district",2020,1,"west kameng district",13983,332479
"shi yomi district",2020,1,"shi yomi district",290,989
"east kameng district",2020,1,"east kameng district",1962,37103
"lohit district",2020,1,"lohit district",8454,159158
"lepa rada district",2020,1,"lepa rada district",1532,28280
"lower dibang valley district",2020,1,"lower dibang valley district",4650,71091
"longding district",2020,1,"longding district",2201,58817
"west siang district",2020,1,"west siang district",5757,97255
"kamle district",2020,1,"kamle district",373,7135
"upper siang district",2020,1,"upper siang district",2143,37600
"kurung kumey district",2020,1,"kurung kumey district",725,11471
"siang district",2020,1,"siang district",1390,24530
"kra daadi district",2020,1,"kra daadi district",701,16770
"changlang district",2020,1,"changlang district",11262,201632
