State,Year,Quater,District,reg_user,app_opens
"pakke kessang district",2020,1,"pakke kessang district",371,9758
"east siang district",2020,1,"east siang district",11298,167166
"upper subansiri district",2020,1,"upper subansiri district",3675,56522
"tawang district",2020,1,"tawang district",8048,138728
"namsai district",2020,1,"namsai district",6029,109933
"lower subansiri district",2020,2,"lower subansiri district",5392,108893
"tirap district",2020,2,"tirap district",5239,114770
"papum pare district",2020,2,"papum pare district",59968,932769
"anjaw district",2020,2,"anjaw district",1961,34903
"lower siang district",2020,2,"lower siang district",2644,48738
"dibang valley district",2020,2,"dibang valley district",367,4076
"west kameng district",2020,2,"west kameng district",15766,394250
"shi yomi district",2020,2,"shi yomi district",320,1597
"east kameng district",2020,2,"east kameng district",2506,53112
"lohit district",2020,2,"lohit district",10154,219948
"lepa rada district",2020,2,"lepa rada district",1890,38098
"lower dibang valley district",2020,2,"lower dibang valley district",5782,110670
"longding district",2020,2,"longding district",2751,86086
"west siang district",2020,2,"west siang district",7239,147515
"kamle district",2020,2,"kamle district",509,11566
"upper siang district",2020,2,"upper siang district",2552,54123
"kurung kumey district",2020,2,"kurung kumey district",834,16738
"siang district",2020,2,"siang district",1831,40101
"kra daadi district",2020,2,"kra daadi district",870,25480
"changlang district",2020,2,"changlang district",14036,293705
"pakke kessang district",2020,2,"pakke kessang district",438,13500
"east siang district",2020,2,"east siang district",13601,235755
"upper subansiri district",2020,2,"upper subansiri district",4465,80310
"tawang district",2020,2,"tawang district",8993,170812
"namsai district",2020,2,"namsai district",7426,149491
"lower subansiri district",2020,3,"lower subansiri district",6456,117359
"tirap district",2020,3,"tirap district",6119,125437
"papum pare district",2020,3,"papum pare district",69419,1157730
"anjaw district",2020,3,"anjaw district",2226,42320
"lower siang district",2020,3,"lower siang district",2983,51520
"dibang valley district",2020,3,"dibang valley district",411,4634
"west kameng district",2020,3,"west kameng district",17636,461190
"shi yomi district",2020,3,"shi yomi district",337,2788
"east kameng district",2020,3,"east kameng district",3169,63062
"lohit district",2020,3,"lohit district",11755,264444
"lepa rada district",2020,3,"lepa rada district",2304,47233
"lower dibang valley district",2020,3,"lower dibang valley district",6799,117752
"longding district",2020,3,"longding district",3277,91330
"west siang district",2020,3,"west siang district",8623,158496
"kamle district",2020,3,"kamle district",639,12196
"upper siang district",2020,3,"upper siang district",3011,59246
"kurung kumey district",2020,3,"kurung kumey district",1025,18583
"siang district",2020,3,"siang district",2225,42723
"kra daadi district",2020,3,"kra daadi district",1026,29126
"changlang district",2020,3,"changlang district",16385,326045
"pakke kessang district",2020,3,"pakke kessang district",508,11721
"east siang district",2020,3,"east siang district",15921,302165
"upper subansiri district",2020,3,"upper subansiri district",5295,106598
"tawang district",2020,3,"tawang district",9944,224583
"namsai district",2020,3,"namsai district",8553,165140
"lower subansiri district",2020,4,"lower subansiri district",7388,124398
"tirap district",2020,4,"tirap district",6805,134124
"papum pare district",2020,4,"papum pare district",77936,1397025
"anjaw district",2020,4,"anjaw district",2485,61121
"lower siang district",2020,4,"lower siang district",3320,54476
"dibang valley district",2020,4,"dibang valley district",444,7677
"west kameng district",2020,4,"west kameng district",19464,455337
"shi yomi district",2020,4,"shi yomi district",370,5847
"east kameng district",2020,4,"east kameng district",3638,62876
"lohit district",2020,4,"lohit district",13126,285992
"lepa rada district",2020,4,"lepa rada district",2735,57036
"lower dibang valley district",2020,4,"lower dibang valley district",7693,132469
"longding district",2020,4,"longding district",3753,87881
"west siang district",2020,4,"west siang district",9911,180696
"kamle district",2020,4,"kamle district",745,14866
"upper siang district",2020,4,"upper siang district",3497,80140
"kurung kumey district",2020,4,"kurung kumey district",1173,21168
"siang district",2020,4,"siang district",2635,48090
"kra daadi district",2020,4,"kra daadi district",1141,27924
"changlang district",2020,4,"changlang district",18203,320708
"pakke kessang district",2020,4,"pakke kessang district",593,11458
"east siang district",2020,4,"east siang district",17822,349321
"upper subansiri district",2020,4,"upper subansiri district",6069,125505
"tawang district",2020,4,"tawang district",10909,249095
"namsai district",2020,4,"namsai district",9437,177437
"lower subansiri district",2021,1,"lower subansiri district",8044,136547
"tirap district",2021,1,"tirap district",7376,136247
"papum pare district",2021,1,"papum pare district",84715,1553363
"anjaw district",2021,1,"anjaw district",2660,55283
"lower siang district",2021,1,"lower siang district",3594,61226
"dibang valley district",2021,1,"dibang valley district",478,9538
"west kameng district",2021,1,"west kameng district",21027,483047
"shi yomi district",2021,1,"shi yomi district",390,7228
"east kameng district",2021,1,"east kameng district",3990,69455
"lohit district",2021,1,"lohit district",14231,295880
"lepa rada district",2021,1,"lepa rada district",3008,68424
"lower dibang valley district",2021,1,"lower dibang valley district",8402,145425
"longding district",2021,1,"longding district",4117,92482
"west siang district",2021,1,"west siang district",10836,191242
"kamle district",2021,1,"kamle district",814,16142
"upper siang district",2021,1,"upper siang district",3847,87503
"kurung kumey district",2021,1,"kurung kumey district",1287,25911
"siang district",2021,1,"siang district",2878,56271
"kra daadi district",2021,1,"kra daadi district",1244,30137
"changlang district",2021,1,"changlang district",19716,344148
"pakke kessang district",2021,1,"pakke kessang district",647,14995
"east siang district",2021,1,"east siang district",19342,363085
"upper subansiri district",2021,1,"upper subansiri district",6577,122422
"tawang district",2021,1,"tawang district",11778,230123
"namsai district",2021,1,"namsai district",10242,200584
"lower subansiri district",2021,2,"lower subansiri district",8685,444426
"tirap district",2021,2,"tirap district",7955,547430
"papum pare district",2021,2,"papum pare district",90871,1786163
"anjaw district",2021,2,"anjaw district",2866,174807
"lower siang district",2021,2,"lower siang district",3872,246789
"dibang valley district",2021,2,"dibang valley district",516,77457
"west kameng district",2021,2,"west kameng district",22625,1490269
"shi yomi district",2021,2,"shi yomi district",430,99619
"east kameng district",2021,2,"east kameng district",4314,221705
"lohit district",2021,2,"lohit district",15360,1008718
"lepa rada district",2021,2,"lepa rada district",3249,228236
"lower dibang valley district",2021,2,"lower dibang valley district",9094,434361
"longding district",2021,2,"longding district",4456,495881
"west siang district",2021,2,"west siang district",11657,467127
"kamle district",2021,2,"kamle district",883,164726
"upper siang district",2021,2,"upper siang district",4145,428792
"kurung kumey district",2021,2,"kurung kumey district",1398,201782
"siang district",2021,2,"siang district",3116,410979
"kra daadi district",2021,2,"kra daadi district",1353,150762
"changlang district",2021,2,"changlang district",21404,1212334
"pakke kessang district",2021,2,"pakke kessang district",702,156638
"east siang district",2021,2,"east siang district",20817,855042
"upper subansiri district",2021,2,"upper subansiri district",7057,293916
"tawang district",2021,2,"tawang district",12636,830993
"namsai district",2021,2,"namsai district",11111,596897
"lower subansiri district",2021,3,"lower subansiri district",9451,558377
"tirap district",2021,3,"tirap district",8665,578706
"papum pare district",2021,3,"papum pare district",97854,2308276
"anjaw district",2021,3,"anjaw district",3099,267726
"lower siang district",2021,3,"lower siang district",4229,347190
"dibang valley district",2021,3,"dibang valley district",571,113574
"west kameng district",2021,3,"west kameng district",24489,2155265
"shi yomi district",2021,3,"shi yomi district",473,181457
"east kameng district",2021,3,"east kameng district",4671,265900
"lohit district",2021,3,"lohit district",16680,1408514
"lepa rada district",2021,3,"lepa rada district",3527,264771
"lower dibang valley district",2021,3,"lower dibang valley district",9920,581463
"longding district",2021,3,"longding district",4890,594284
"west siang district",2021,3,"west siang district",12616,544772
"kamle district",2021,3,"kamle district",974,203013
"upper siang district",2021,3,"upper siang district",4506,556857
"kurung kumey district",2021,3,"kurung kumey district",1509,292922
"siang district",2021,3,"siang district",3396,433332
"kra daadi district",2021,3,"kra daadi district",1475,179974
"changlang district",2021,3,"changlang district",23328,1668215
"pakke kessang district",2021,3,"pakke kessang district",770,213423
"east siang district",2021,3,"east siang district",22538,1086775
"upper subansiri district",2021,3,"upper subansiri district",7652,375423
"tawang district",2021,3,"tawang district",13650,1355010
"namsai district",2021,3,"namsai district",12140,674435
"lower subansiri district",2021,4,"lower subansiri district",10187,348485
"tirap district",2021,4,"tirap district",9331,311867
"papum pare district",2021,4,"papum pare district",104806,3554385
"anjaw district",2021,4,"anjaw district",3342,125753
"lower siang district",2021,4,"lower siang district",4550,156209
"dibang valley district",2021,4,"dibang valley district",621,18166
"west kameng district",2021,4,"west kameng district",26237,1160379
"shi yomi district",2021,4,"shi yomi district",498,15201
"east kameng district",2021,4,"east kameng district",5027,153109
"lohit district",2021,4,"lohit district",17980,728676
"lepa rada district",2021,4,"lepa rada district",3810,168938
"lower dibang valley district",2021,4,"lower dibang valley district",10679,341060
"longding district",2021,4,"longding district",5345,215529
"west siang district",2021,4,"west siang district",13555,389171
"kamle district",2021,4,"kamle district",1069,48042
"upper siang district",2021,4,"upper siang district",4850,208167
"kurung kumey district",2021,4,"kurung kumey district",1633,54213
"siang district",2021,4,"siang district",3675,121770
"kra daadi district",2021,4,"kra daadi district",1593,63448
"changlang district",2021,4,"changlang district",25155,829350
"pakke kessang district",2021,4,"pakke kessang district",835,35976
"east siang district",2021,4,"east siang district",24208,897713
"upper subansiri district",2021,4,"upper subansiri district",8201,240330
