State,Year,Quater,Reg_user,Device_brand,Device_count
jharkhand,2020,4,4917938,Xiaomi,1396020
jharkhand,2021,1,5313049,Xiaomi,1499838
jharkhand,2021,2,5701503,Xiaomi,1595475
jharkhand,2021,3,6151843,Xiaomi,1700564
jharkhand,2021,4,6596196,Xiaomi,1792304
jharkhand,2022,1,7025275,Xiaomi,1869656
jharkhand,2022,2,7426174,Xiaomi,1869656
jharkhand,2022,3,7836429,Xiaomi,1869656
jharkhand,2022,4,8217638,Xiaomi,1869656
karnataka,2018,1,3717763,Xiaomi,973827
karnataka,2018,2,5030665,Xiaomi,1325344
karnataka,2018,3,6372649,Xiaomi,1687125
karnataka,2018,4,8315802,Xiaomi,2192270
karnataka,2019,1,10266174,Xiaomi,2696059
karnataka,2019,2,11968087,Xiaomi,3131468
karnataka,2019,3,13635075,Xiaomi,3553970
karnataka,2019,4,15385416,Xiaomi,3999086
karnataka,2020,1,17016980,Xiaomi,4413738
karnataka,2020,2,18655366,Xiaomi,4835717
karnataka,2020,3,20487550,Xiaomi,5287266
karnataka,2020,4,22400182,Xiaomi,5759174
karnataka,2021,1,24095832,Xiaomi,6173033
karnataka,2021,2,25751023,Xiaomi,6567268
karnataka,2021,3,27614221,Xiaomi,6973776
karnataka,2021,4,29459646,Xiaomi,7306532
karnataka,2022,1,31200349,Xiaomi,7620184
karnataka,2022,2,32831447,Xiaomi,7620184
karnataka,2022,3,34493994,Xiaomi,7620184
karnataka,2022,4,36081698,Xiaomi,7620184
kerala,2018,1,784184,Xiaomi,202313
kerala,2018,2,1066587,Xiaomi,275516
kerala,2018,3,1347598,Xiaomi,347221
kerala,2018,4,1757326,Xiaomi,453011
kerala,2019,1,2136624,Xiaomi,548894
kerala,2019,2,2550167,Xiaomi,646056
kerala,2019,3,2990963,Xiaomi,747507
kerala,2019,4,3503938,Xiaomi,865305
kerala,2020,1,4078316,Xiaomi,990472
kerala,2020,2,4728844,Xiaomi,1124154
kerala,2020,3,5582300,Xiaomi,1299988
kerala,2020,4,6387169,Xiaomi,1466789
kerala,2021,1,6936943,Xiaomi,1589645
kerala,2021,2,7416083,Xiaomi,1714598
kerala,2021,3,7949425,Xiaomi,1859763
kerala,2021,4,8473810,Xiaomi,1989367
kerala,2022,1,8972299,Xiaomi,2098370
kerala,2022,2,9442533,Xiaomi,2098370
kerala,2022,3,9933977,Xiaomi,2098370
kerala,2022,4,10382102,Xiaomi,2098370
ladakh,2018,1,8784,Xiaomi,2316
ladakh,2018,2,12918,Xiaomi,3442
ladakh,2018,3,17749,Xiaomi,4906
ladakh,2018,4,23883,Xiaomi,6734
ladakh,2019,1,29649,Xiaomi,8452
ladakh,2019,2,35516,Xiaomi,10276
ladakh,2019,3,39173,Xiaomi,11485
ladakh,2019,4,43108,Xiaomi,12590
ladakh,2020,1,47790,Xiaomi,13890
ladakh,2020,2,53034,Xiaomi,15512
ladakh,2020,3,58401,Xiaomi,17122
ladakh,2020,4,64853,Xiaomi,18866
ladakh,2021,1,69919,Xiaomi,20199
ladakh,2021,2,75048,Xiaomi,21227
ladakh,2021,3,81210,Xiaomi,22384
ladakh,2021,4,87057,Xiaomi,23462
ladakh,2022,1,92492,Xiaomi,24460
ladakh,2022,2,97517,Xiaomi,24460
ladakh,2022,3,102299,Xiaomi,24460
ladakh,2022,4,106337,Xiaomi,24460
lakshadweep,2018,1,501,Samsung,102
lakshadweep,2018,2,686,Xiaomi,147
lakshadweep,2018,3,918,Xiaomi,195
lakshadweep,2018,4,1156,Xiaomi,245
lakshadweep,2019,1,1416,Xiaomi,298
lakshadweep,2019,2,1747,Xiaomi,377
lakshadweep,2019,3,2117,Xiaomi,442
lakshadweep,2019,4,2427,Xiaomi,496
lakshadweep,2020,1,2772,Xiaomi,560
lakshadweep,2020,2,3187,Vivo,654
lakshadweep,2020,3,3644,Vivo,784
lakshadweep,2020,4,4179,Vivo,934
lakshadweep,2021,1,4577,Vivo,1032
lakshadweep,2021,2,4896,Vivo,1118
lakshadweep,2021,3,5287,Vivo,1234
lakshadweep,2021,4,5638,Vivo,1354
lakshadweep,2022,1,5990,Vivo,1441
lakshadweep,2022,2,6327,Vivo,1441
lakshadweep,2022,3,6645,Vivo,1441
lakshadweep,2022,4,6961,Vivo,1441
madhya-pradesh,2018,1,2553603,Xiaomi,652241
madhya-pradesh,2018,2,3441662,Xiaomi,890108
madhya-pradesh,2018,3,4309309,Xiaomi,1132909
madhya-pradesh,2018,4,5365442,Xiaomi,1416415
madhya-pradesh,2019,1,6414403,Xiaomi,1692888
madhya-pradesh,2019,2,7301172,Xiaomi,1936039
madhya-pradesh,2019,3,8180664,Xiaomi,2182732
madhya-pradesh,2019,4,9165241,Xiaomi,2450683
madhya-pradesh,2020,1,10151371,Xiaomi,2697286
madhya-pradesh,2020,2,11374423,Xiaomi,3003291
madhya-pradesh,2020,3,12564224,Xiaomi,3292397
madhya-pradesh,2020,4,13737947,Xiaomi,3563397
madhya-pradesh,2021,1,14839427,Xiaomi,3826173
madhya-pradesh,2021,2,15940935,Xiaomi,4052668
madhya-pradesh,2021,3,17210233,Xiaomi,4290362
madhya-pradesh,2021,4,18456243,Xiaomi,4500562
madhya-pradesh,2022,1,19656147,Xiaomi,4678482
madhya-pradesh,2022,2,20766417,Xiaomi,4678482
madhya-pradesh,2022,3,21884220,Xiaomi,4678482
madhya-pradesh,2022,4,22913924,Xiaomi,4678482
maharashtra,2018,1,6106994,Xiaomi,1606618
maharashtra,2018,2,8222371,Xiaomi,2177364
maharashtra,2018,3,10435033,Xiaomi,2766078
maharashtra,2018,4,13381602,Xiaomi,3540182
maharashtra,2019,1,16284451,Xiaomi,4274491
maharashtra,2019,2,18776975,Xiaomi,4892831
maharashtra,2019,3,21313081,Xiaomi,5512362
maharashtra,2019,4,23745297,Xiaomi,6103857
maharashtra,2020,1,26168390,Xiaomi,6677147
maharashtra,2020,2,28765086,Xiaomi,7291300
maharashtra,2020,3,31409513,Xiaomi,7895486
maharashtra,2020,4,34432631,Xiaomi,8584570
maharashtra,2021,1,37077537,Xiaomi,9195320
maharashtra,2021,2,39664697,Xiaomi,9764252
maharashtra,2021,3,42581217,Xiaomi,10369008
maharashtra,2021,4,45482506,Xiaomi,10876133
maharashtra,2022,1,48227630,Xiaomi,11340940
maharashtra,2022,2,50802786,Xiaomi,11340940
maharashtra,2022,3,53432602,Xiaomi,11340940
maharashtra,2022,4,55954028,Xiaomi,11340940
manipur,2018,1,29925,Xiaomi,12453
manipur,2018,2,46055,Xiaomi,19879
manipur,2018,3,61935,Xiaomi,26950
manipur,2018,4,82589,Xiaomi,36506
manipur,2019,1,99527,Xiaomi,44328
manipur,2019,2,117747,Xiaomi,52830
manipur,2019,3,136316,Xiaomi,62189
manipur,2019,4,155358,Xiaomi,71382
manipur,2020,1,177374,Xiaomi,82065
manipur,2020,2,215496,Xiaomi,101637
manipur,2020,3,258563,Xiaomi,123688
